date,hydrophone,total_detections,mean_detection_confidence,median_detection_confidence,recording_files,matched_recording_files,total_duration_seconds,mean_file_confidence,median_file_confidence,total_duration_hours,detections_per_hour
2024-09-01,0,1976,0.62250644,0.57334036,11,11,33060.0,0.6717168,0.62715054,9.183333333333334,215.17241379310343
2024-09-01,1,4929,0.86280566,0.9017377,11,11,33060.0,0.819277,0.8505117,9.183333333333334,536.7332123411978
2024-09-01,2,1101,0.82210433,0.8835756,11,11,33060.0,0.80052036,0.8161253,9.183333333333334,119.89110707803992
2024-09-02,0,917,0.585373,0.5448663,11,11,33048.645833333336,0.5867875,0.5756974,9.180179398148148,99.88911547686963
2024-09-02,1,2436,0.8410503,0.8791953,11,11,33048.645833333336,0.77442193,0.8063988,9.180179398148148,265.35429149580636
2024-09-02,2,359,0.8124444,0.8707192,9,9,27039.791666666668,0.80613303,0.8091487,7.511053240740741,47.79622624064843
2024-09-03,0,1948,0.58193463,0.5533089,11,11,33048.854166666664,0.5855881,0.592929,9.180237268518518,212.19495128739337
2024-09-03,1,1786,0.8108986,0.8497126,11,11,33048.854166666664,0.76405644,0.7994508,9.180237268518518,194.54834856226105
2024-09-03,2,445,0.7976731,0.83441406,9,9,27039.479166666668,0.7464065,0.755778,7.5109664351851855,59.246703315753585
2024-09-04,0,677,0.6257319,0.58078736,11,11,33048.4375,0.6335412,0.600349,9.180121527777779,73.74630041132806
2024-09-04,1,3384,0.8469661,0.885008,11,11,33048.4375,0.7886232,0.7963607,9.180121527777779,368.6225710368304
2024-09-04,2,746,0.80086976,0.8321588,10,10,30044.270833333332,0.7491821,0.7388861,8.345630787037036,89.38809049146226
2024-09-05,0,1257,0.59905493,0.56517905,11,11,33049.6875,0.60200334,0.6061014,9.18046875,136.92111309675772
2024-09-05,1,2150,0.8264748,0.86563826,11,11,33049.6875,0.77732885,0.813721,9.18046875,234.19283465237004
2024-09-05,2,565,0.78187823,0.7971321,8,8,24036.25,0.7695751,0.7885985,6.676736111111111,84.62218524104217
2024-09-06,0,30312,0.68494695,0.67752445,11,11,33051.5625,0.6500049,0.63400215,9.180989583333334,3301.604878740604
2024-09-06,1,10587,0.7404183,0.73461735,11,11,33051.5625,0.7316343,0.76367867,9.180989583333334,1153.1436675648843
2024-09-06,2,1297,0.7239343,0.6791237,8,8,24038.4375,0.710848,0.70780265,6.67734375,194.23891423891422
2024-09-07,0,47952,0.71004534,0.7042531,11,11,33049.791666666664,0.7007375,0.68640643,9.180497685185184,5223.246238314665
2024-09-07,1,32012,0.6861153,0.6658741,11,11,33049.791666666664,0.68158317,0.68868923,9.180497685185184,3486.956927363385
2024-09-07,2,21413,0.68930584,0.68033147,10,10,30045.3125,0.6766051,0.686643,8.34592013888889,2565.684746996724
2024-09-08,0,31137,0.6775859,0.660293,11,11,33049.791666666664,0.6748043,0.67764,9.180497685185184,3391.646190407151
